text,pIC50,mol,num_atoms,logP
O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,4.26,<rdkit.Chem.rdchem.Mol object at 0x7f59df45bc30>,25,4.1591
O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,4.34,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c9e0>,36,3.6743
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,4.53,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cac0>,23,1.5361
NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,4.56,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cba0>,22,0.951
CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,4.59,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c7b0>,21,3.213
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,4.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ca50>,22,3.6453
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,4.61,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c740>,24,4.1421
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,4.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cc10>,26,4.5664
CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,4.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cc80>,33,3.3235
COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,4.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ccf0>,32,2.369
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,4.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cd60>,22,2.151
CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cdd0>,21,2.6683
NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ce40>,23,1.5025
N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ceb0>,22,3.14898
O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,4.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cf20>,32,4.0575
NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,4.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cf90>,38,4.5889
